Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# misassembled contigs	Misassembled contigs length	# local misassemblies	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
SPAdes	0	0	0	0	0	0	12	0	124	12	12	0	19
Velvet	3	3	0	0	2	323967	11	0	111	16	16	0	20
